test_file,true_speaker,predicted_speaker,best_score
Aya_Ar_test_10s_1.mfcc,Aya,Aya,-90.26984356838797
Aya_Ar_test_10s_10.mfcc,Aya,Aya,-91.63711463998223
Aya_Ar_test_10s_11.mfcc,Aya,Aya,-89.85173926883695
Aya_Ar_test_10s_12.mfcc,Aya,Aya,-89.12663083897024
Aya_Ar_test_10s_13.mfcc,Aya,Aya,-87.72964673987165
Aya_Ar_test_10s_14.mfcc,Aya,Aya,-92.27559417475103
Aya_Ar_test_10s_15.mfcc,Aya,Aya,-89.97336253647448
Aya_Ar_test_10s_16.mfcc,Aya,Aya,-91.22627790737974
Aya_Ar_test_10s_17.mfcc,Aya,Aya,-88.53682665728051
Aya_Ar_test_10s_18.mfcc,Aya,Aya,-87.81502284399104
Aya_Ar_test_10s_19.mfcc,Aya,Aya,-92.15117032729401
Aya_Ar_test_10s_2.mfcc,Aya,Aya,-92.28485849923517
Aya_Ar_test_10s_20.mfcc,Aya,Aya,-89.17568657469141
Aya_Ar_test_10s_21.mfcc,Aya,Aya,-90.73850060860156
Aya_Ar_test_10s_22.mfcc,Aya,Aya,-94.18439898109041
Aya_Ar_test_10s_23.mfcc,Aya,Aya,-88.79798236012904
Aya_Ar_test_10s_24.mfcc,Aya,Aya,-92.25916358106244
Aya_Ar_test_10s_25.mfcc,Aya,Aya,-89.4589607441307
Aya_Ar_test_10s_26.mfcc,Aya,Aya,-89.02121913383954
Aya_Ar_test_10s_27.mfcc,Aya,Aya,-88.72899360276422
Aya_Ar_test_10s_28.mfcc,Aya,Aya,-89.7223323201372
Aya_Ar_test_10s_29.mfcc,Aya,Aya,-88.6710995436198
Aya_Ar_test_10s_3.mfcc,Aya,Aya,-88.04158721553709
Aya_Ar_test_10s_30.mfcc,Aya,Aya,-91.37779019294138
Aya_Ar_test_10s_4.mfcc,Aya,Aya,-89.24766744057861
Aya_Ar_test_10s_5.mfcc,Aya,Aya,-89.89892261172186
Aya_Ar_test_10s_6.mfcc,Aya,Aya,-89.68884601514796
Aya_Ar_test_10s_7.mfcc,Aya,Aya,-88.34429392510386
Aya_Ar_test_10s_8.mfcc,Aya,Aya,-88.56893609961523
Aya_Ar_test_10s_9.mfcc,Aya,Aya,-89.46933079623629
Aya_Ar_test_15s_1.mfcc,Aya,Aya,-89.64719351726224
Aya_Ar_test_15s_10.mfcc,Aya,Aya,-91.77209107531732
Aya_Ar_test_15s_11.mfcc,Aya,Aya,-90.30363364323843
Aya_Ar_test_15s_12.mfcc,Aya,Aya,-89.41397789766343
Aya_Ar_test_15s_13.mfcc,Aya,Aya,-90.28437488316781
Aya_Ar_test_15s_14.mfcc,Aya,Aya,-88.18706061014942
Aya_Ar_test_15s_15.mfcc,Aya,Aya,-90.73773051384948
Aya_Ar_test_15s_16.mfcc,Aya,Aya,-91.05708810972015
Aya_Ar_test_15s_17.mfcc,Aya,Aya,-89.64284922907879
Aya_Ar_test_15s_18.mfcc,Aya,Aya,-87.88467136751716
Aya_Ar_test_15s_19.mfcc,Aya,Aya,-89.59895001971084
Aya_Ar_test_15s_2.mfcc,Aya,Aya,-92.6998543090068
Aya_Ar_test_15s_20.mfcc,Aya,Aya,-90.30962456688594
Aya_Ar_test_15s_21.mfcc,Aya,Aya,-89.91240659857019
Aya_Ar_test_15s_22.mfcc,Aya,Aya,-90.02556698036233
Aya_Ar_test_15s_23.mfcc,Aya,Aya,-90.97487202840539
Aya_Ar_test_15s_24.mfcc,Aya,Aya,-88.60453200166346
Aya_Ar_test_15s_25.mfcc,Aya,Aya,-91.59186842036387
Aya_Ar_test_15s_26.mfcc,Aya,Aya,-89.5779428689373
Aya_Ar_test_15s_27.mfcc,Aya,Aya,-89.51813495629999
Aya_Ar_test_15s_28.mfcc,Aya,Aya,-89.0231645932352
Aya_Ar_test_15s_29.mfcc,Aya,Aya,-89.0951586492172
Aya_Ar_test_15s_3.mfcc,Aya,Aya,-90.37135331893313
Aya_Ar_test_15s_30.mfcc,Aya,Aya,-91.92523778472597
Aya_Ar_test_15s_4.mfcc,Aya,Aya,-87.53861127120997
Aya_Ar_test_15s_5.mfcc,Aya,Aya,-90.2497921041105
Aya_Ar_test_15s_6.mfcc,Aya,Aya,-88.62696558381565
Aya_Ar_test_15s_7.mfcc,Aya,Aya,-90.0390630604389
Aya_Ar_test_15s_8.mfcc,Aya,Aya,-88.53604419020465
Aya_Ar_test_15s_9.mfcc,Aya,Aya,-90.28956688535008
Aya_Ar_test_5s_1.mfcc,Aya,Aya,-89.57122218454593
Aya_Ar_test_5s_10.mfcc,Aya,Aya,-91.3671794161192
Aya_Ar_test_5s_11.mfcc,Aya,Aya,-91.32440272728024
Aya_Ar_test_5s_12.mfcc,Aya,Aya,-91.08579713760727
Aya_Ar_test_5s_13.mfcc,Aya,Aya,-90.34433273501921
Aya_Ar_test_5s_14.mfcc,Aya,Aya,-91.8216524127991
Aya_Ar_test_5s_15.mfcc,Aya,Aya,-90.62493289415944
Aya_Ar_test_5s_16.mfcc,Aya,Aya,-88.94878179688334
Aya_Ar_test_5s_17.mfcc,Aya,Aya,-89.49324273696882
Aya_Ar_test_5s_18.mfcc,Aya,Aya,-87.61840614935745
Aya_Ar_test_5s_19.mfcc,Aya,Aya,-90.14761039988754
Aya_Ar_test_5s_2.mfcc,Aya,Aya,-91.25896083806416
Aya_Ar_test_5s_20.mfcc,Aya,Aya,-92.3733317678865
Aya_Ar_test_5s_21.mfcc,Aya,Aya,-90.19273044564954
Aya_Ar_test_5s_22.mfcc,Aya,Aya,-91.46523174554433
Aya_Ar_test_5s_23.mfcc,Aya,Aya,-88.48456934627347
Aya_Ar_test_5s_24.mfcc,Aya,Aya,-93.06221707560043
Aya_Ar_test_5s_25.mfcc,Aya,Aya,-88.79785797095043
Aya_Ar_test_5s_26.mfcc,Aya,Aya,-89.56161012375495
Aya_Ar_test_5s_27.mfcc,Aya,Aya,-87.80071782895297
Aya_Ar_test_5s_28.mfcc,Aya,Aya,-85.76261064029875
Aya_Ar_test_5s_29.mfcc,Aya,Aya,-92.01034632793218
Aya_Ar_test_5s_3.mfcc,Aya,Aya,-90.17462826073132
Aya_Ar_test_5s_30.mfcc,Aya,Aya,-88.11318968950887
Aya_Ar_test_5s_4.mfcc,Aya,Aya,-91.67114573456709
Aya_Ar_test_5s_5.mfcc,Aya,Aya,-89.78793629425746
Aya_Ar_test_5s_6.mfcc,Aya,Aya,-88.36016387762632
Aya_Ar_test_5s_7.mfcc,Aya,Aya,-91.92436848008951
Aya_Ar_test_5s_8.mfcc,Aya,Aya,-89.46250886943193
Aya_Ar_test_5s_9.mfcc,Aya,Aya,-92.666022642597
Aya_En_test_10s_1.mfcc,Aya,Aya,-85.94208326481547
Aya_En_test_10s_10.mfcc,Aya,Aya,-85.7916599426575
Aya_En_test_10s_11.mfcc,Aya,Aya,-87.22193013887384
Aya_En_test_10s_12.mfcc,Aya,Aya,-86.463080146859
Aya_En_test_10s_13.mfcc,Aya,Aya,-86.69705131896754
Aya_En_test_10s_14.mfcc,Aya,Aya,-85.76975382416008
Aya_En_test_10s_15.mfcc,Aya,Aya,-86.37396637199333
Aya_En_test_10s_16.mfcc,Aya,Aya,-87.9098348472121
Aya_En_test_10s_17.mfcc,Aya,Aya,-84.34667860349349
Aya_En_test_10s_18.mfcc,Aya,Aya,-84.5765740383696
Aya_En_test_10s_19.mfcc,Aya,Aya,-87.27228795867626
Aya_En_test_10s_2.mfcc,Aya,Aya,-85.23869056928848
Aya_En_test_10s_20.mfcc,Aya,Aya,-86.7191422043422
Aya_En_test_10s_21.mfcc,Aya,Aya,-86.14023713240788
Aya_En_test_10s_22.mfcc,Aya,Aya,-85.71431920076776
Aya_En_test_10s_23.mfcc,Aya,Aya,-86.07332911399466
Aya_En_test_10s_24.mfcc,Aya,Aya,-88.61281399374154
Aya_En_test_10s_25.mfcc,Aya,Aya,-86.6092551798321
Aya_En_test_10s_26.mfcc,Aya,Aya,-86.68855371631761
Aya_En_test_10s_27.mfcc,Aya,Aya,-85.91546071785748
Aya_En_test_10s_28.mfcc,Aya,Aya,-84.76903814364273
Aya_En_test_10s_29.mfcc,Aya,Aya,-86.02924148530607
Aya_En_test_10s_3.mfcc,Aya,Aya,-86.28480987946834
Aya_En_test_10s_30.mfcc,Aya,Aya,-87.29663901462911
Aya_En_test_10s_4.mfcc,Aya,Aya,-86.48415513664702
Aya_En_test_10s_5.mfcc,Aya,Aya,-86.81224433398216
Aya_En_test_10s_6.mfcc,Aya,Aya,-86.0859841425623
Aya_En_test_10s_7.mfcc,Aya,Aya,-86.23738734549846
Aya_En_test_10s_8.mfcc,Aya,Aya,-85.68019967463908
Aya_En_test_10s_9.mfcc,Aya,Aya,-86.65621747556062
Aya_En_test_15s_1.mfcc,Aya,Aya,-87.45103252227157
Aya_En_test_15s_10.mfcc,Aya,Aya,-84.7547781849409
Aya_En_test_15s_11.mfcc,Aya,Aya,-85.47500653151744
Aya_En_test_15s_12.mfcc,Aya,Aya,-85.43208557195666
Aya_En_test_15s_13.mfcc,Aya,Aya,-87.36652399689856
Aya_En_test_15s_14.mfcc,Aya,Aya,-85.78061327678388
Aya_En_test_15s_15.mfcc,Aya,Aya,-85.59861322227759
Aya_En_test_15s_16.mfcc,Aya,Aya,-86.77409087388388
Aya_En_test_15s_17.mfcc,Aya,Aya,-85.76477415976069
Aya_En_test_15s_18.mfcc,Aya,Aya,-86.2429968298486
Aya_En_test_15s_19.mfcc,Aya,Aya,-86.31750772537322
Aya_En_test_15s_2.mfcc,Aya,Aya,-85.49032840438252
Aya_En_test_15s_20.mfcc,Aya,Aya,-85.79240899863667
Aya_En_test_15s_21.mfcc,Aya,Aya,-86.01201031689541
Aya_En_test_15s_22.mfcc,Aya,Aya,-84.03002821263094
Aya_En_test_15s_23.mfcc,Aya,Aya,-84.63553308097029
Aya_En_test_15s_24.mfcc,Aya,Aya,-85.85342581291624
Aya_En_test_15s_25.mfcc,Aya,Aya,-86.35264774427425
Aya_En_test_15s_26.mfcc,Aya,Aya,-85.57929060343619
Aya_En_test_15s_27.mfcc,Aya,Aya,-85.57010888155885
Aya_En_test_15s_28.mfcc,Aya,Aya,-85.23141120215519
Aya_En_test_15s_29.mfcc,Aya,Aya,-85.34402253117962
Aya_En_test_15s_3.mfcc,Aya,Aya,-85.15366824003861
Aya_En_test_15s_30.mfcc,Aya,Aya,-87.46444055502583
Aya_En_test_15s_4.mfcc,Aya,Aya,-86.01032795485844
Aya_En_test_15s_5.mfcc,Aya,Aya,-87.30285568221714
Aya_En_test_15s_6.mfcc,Aya,Aya,-87.39920339635576
Aya_En_test_15s_7.mfcc,Aya,Aya,-85.12160253174385
Aya_En_test_15s_8.mfcc,Aya,Aya,-86.491609959844
Aya_En_test_15s_9.mfcc,Aya,Aya,-85.17575070755086
Aya_En_test_5s_1.mfcc,Aya,Aya,-86.14295063204864
Aya_En_test_5s_10.mfcc,Aya,Aya,-87.22298343785594
Aya_En_test_5s_11.mfcc,Aya,Aya,-85.78786186321338
Aya_En_test_5s_12.mfcc,Aya,Aya,-86.54957023547601
Aya_En_test_5s_13.mfcc,Aya,Aya,-85.90685296801769
Aya_En_test_5s_14.mfcc,Aya,Aya,-83.14962976179788
Aya_En_test_5s_15.mfcc,Aya,Aya,-85.68371320309456
Aya_En_test_5s_16.mfcc,Aya,Aya,-84.04910792435841
Aya_En_test_5s_17.mfcc,Aya,Aya,-86.06615004312766
